Maximum,Minimum,Average
1.0000001,0.1784799,0.46916294
1.0000001,0.184317,0.48950315
1.0000001,0.09986287,0.41398162
0.52082026,0.09986287,0.34447575
0.32862616,0.22649366,0.2873971
0.43613192,0.24734898,0.3181993
0.5363419,0.12949371,0.2516133
0.37611964,0.14680819,0.27413452
0.23796609,0.17263922,0.2051099
0.28473333,0.18188743,0.22826774
0.42081085,0.17718013,0.2818281
0.29752508,0.040658053,0.1655216
1.0,0.20007521,0.44848752
0.40376192,0.20747812,0.30209926
1.0000001,0.296954,0.5705702
0.4147563,0.12169764,0.24262266
0.33745414,0.18198805,0.28006515
1.0000001,0.1315398,0.4428501
1.0000001,0.14263123,0.38794214
1.0000001,0.23557027,0.586483
1.0000001,0.16449605,0.39413375
0.6071218,0.3186675,0.4092275
1.0,0.07646483,0.42985544
0.3734846,0.07961403,0.2659085
1.0000001,0.25445983,0.4611771
0.99999994,0.32862616,0.53909266
0.39706478,0.12390133,0.26749328
0.29413998,0.15818764,0.23371963
0.32862616,0.23371309,0.28498876
0.21701653,0.10710483,0.1636816
1.0000001,0.30251467,0.54950523
0.37253332,0.14664602,0.22163272
1.0000001,0.12741968,0.43308133
