Maximum,Minimum,Average
1.0000001,0.27510464,0.87918407
1.0000001,0.9999999,1.0
0.45968372,0.2040507,0.33387366
1.0000001,0.25162157,0.66015995
1.0000001,0.2837242,0.6672702
1.0000001,0.2912361,0.59159166
1.0000001,0.43490162,0.7207139
1.0,0.53586465,0.8839661
1.0000001,0.3108777,0.6864449
1.0000001,0.3108777,0.794599
1.0000001,0.24830034,0.68529207
1.0000001,0.5701378,0.9140276
1.0000001,0.35181728,0.5262789
1.0000001,0.34124175,0.77764255
1.0000001,0.34124175,0.5327943
1.0000001,0.21931478,0.60067195
1.0000001,0.30281585,0.6433932
1.0000001,0.31258,0.6636346
1.0,0.41100788,0.8407451
1.0000001,0.41100788,0.7675974
1.0000001,0.36011335,0.658074
1.0000001,0.9999999,1.0
1.0000001,0.52293783,0.8112904
1.0000001,0.28955302,0.7824748
1.0000001,1.0,1.0
1.0000001,0.25450292,0.52942544
1.0,0.27604833,0.48853534
1.0000001,0.25162157,0.6356434
0.9999999,0.4793984,0.61499006
1.0000001,0.496583,0.7148142
1.0,0.44466978,0.69377345
1.0,0.495491,0.83404267
1.0000001,0.33521837,0.63970244
