Maximum,Minimum,Average
1.0000001,0.3678027,0.87356055
1.0000001,0.3356162,0.7073252
1.0000001,0.24565563,0.7146238
1.0000001,0.49413326,0.76668614
1.0000001,0.6223558,0.905589
1.0,0.38097137,0.6229323
1.0,0.26292777,0.63603103
1.0,0.41065007,0.73940516
1.0000001,0.34889397,0.7406755
1.0,0.39453888,0.68309325
1.0000001,0.25162157,0.60535383
1.0000001,0.25162157,0.4911625
1.0,0.47323656,0.6180637
1.0000001,0.26040158,0.6368219
1.0000001,0.46159896,0.82053304
0.5801839,0.22733834,0.39870536
1.0000001,0.21884839,0.60581326
1.0000001,0.31517142,0.5745605
1.0000001,0.55061877,0.8876548
1.0000001,1.0,1.0
1.0000001,0.3171042,0.50906223
0.6071218,0.32366148,0.46642202
1.0000001,0.40392226,0.7859734
1.0,0.22943822,0.585374
1.0000001,0.32195923,0.7065968
1.0000001,0.99999994,1.0
1.0000001,0.39453152,0.71157384
1.0000001,0.31835827,0.508665
1.0000001,0.3654642,0.84136605
1.0,0.24532904,0.4791177
1.0000001,0.4031017,0.77526766
0.99999994,0.33521837,0.51410437
1.0000001,0.62776613,0.9255532
