Maximum,Minimum,Average
1.0000001,0.20778935,0.4228745
1.0000001,0.13320702,0.38670832
1.0000001,0.2709279,0.44562522
0.2915509,0.17165527,0.2413319
0.52387863,0.2323369,0.43002248
0.3186675,0.09626911,0.21484022
0.57530236,0.13532107,0.3763871
0.52082026,0.16860491,0.33917117
0.23796609,0.12800188,0.18881208
1.0000001,0.1784799,0.44877514
1.0000001,0.044618953,0.47238663
0.60674334,0.08107989,0.25826925
0.32142168,0.14078626,0.19776917
0.35283282,0.12335618,0.2186189
0.32503098,0.14125769,0.25441423
0.5608821,0.40324542,0.4969469
0.40045232,0.094912454,0.224538
0.3100182,0.054675102,0.20764494
0.47865504,0.14733534,0.29819363
1.0000001,0.2053891,0.4789192
1.0,0.37316865,0.51765907
0.25118583,0.085150875,0.17882684
0.42837018,0.16172889,0.2794422
1.0000001,0.13754778,0.39451
0.52387863,0.054675102,0.29769453
0.99999994,0.054675102,0.465425
0.29365864,0.0735752,0.1491866
1.0,0.1516869,0.33435094
1.0,0.21507472,0.73835826
0.41279915,0.21507472,0.28477946
0.40746436,0.21253207,0.31626245
0.40746436,0.11755059,0.2078603
0.40324542,0.0664529,0.23647025
