Maximum,Minimum,Average
1.0000001,0.22013412,0.6730363
1.0000001,0.27217376,0.585174
1.0000001,0.31865972,0.78399277
1.0,0.31865972,0.7150613
0.5415854,0.30934787,0.4297371
1.0000001,0.24026188,0.5478074
1.0000001,0.30212265,0.6504997
1.0000001,0.45962563,0.7303302
1.0000001,0.42081085,0.90346843
1.0,0.22943822,0.5093716
0.99999994,0.25038597,0.6825022
1.0,0.618727,0.8984026
1.0000001,0.3678027,0.7892677
1.0,0.28513995,0.66890293
1.0,0.231794,0.5696055
1.0000001,0.43149686,0.7220533
0.9999999,0.3029145,0.5128482
1.0,0.3004972,0.580304
1.0000001,0.26362738,0.75448793
1.0000001,0.25164133,0.64069253
1.0000001,0.26040158,0.7342104
1.0000001,0.32195923,0.73832005
1.0000001,0.25162157,0.4994245
1.0000001,1.0,1.0
1.0,0.29375532,0.7376627
1.0,0.41100788,0.7711355
1.0000001,0.37036783,0.621953
1.0000001,0.19651908,0.74942756
1.0000001,0.19651908,0.46826014
1.0000001,0.34675044,0.7510332
1.0000001,0.33342242,0.7023082
1.0000001,0.99999994,1.0
1.0000001,0.3615289,0.5416833
